Genome	GBK	Type	Cluster_number	Contig_edge	Length	CDS_number	GBK_Path
BGC0000034	BGC0000034.1.region001.gbk	T1PKS,NRPS-like	2	True	137277	20	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000034/BGC0000034.1.region001.gbk
BGC0000040	BGC0000040.1.region001.gbk	T1PKS	1	True	97006	26	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000040/BGC0000040.1.region001.gbk
BGC0000041	BGC0000041.1.region001.gbk	T1PKS	1	True	14402	2	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000041/BGC0000041.1.region001.gbk
BGC0000037	BGC0000037.1.region001.gbk	T1PKS	1	True	7821	1	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000037/BGC0000037.1.region001.gbk
BGC0000039	BGC0000039.1.region001.gbk	T1PKS	1	True	38231	9	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000039/BGC0000039.1.region001.gbk
BGC0000038	BGC0000038.1.region001.gbk	T1PKS,butyrolactone	2	True	57887	24	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000038/BGC0000038.1.region001.gbk
BGC0000046	BGC0000046.1.region001.gbk	T1PKS	1	True	25000	6	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000046/BGC0000046.1.region001.gbk
BGC0000043	BGC0000043.1.region001.gbk	T1PKS	1	True	13300	4	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000043/BGC0000043.1.region001.gbk
BGC0000044	BGC0000044.1.region001.gbk	T1PKS	1	True	21257	9	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000044/BGC0000044.1.region001.gbk
BGC0000045	BGC0000045.1.region001.gbk	T1PKS	1	True	31000	8	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000045/BGC0000045.1.region001.gbk
BGC0000042	BGC0000042.1.region001.gbk	T1PKS	1	True	105855	40	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000042/BGC0000042.1.region001.gbk
BGC0000048	BGC0000048.1.region001.gbk	T1PKS	1	True	37105	14	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000048/BGC0000048.1.region001.gbk
BGC0000047	BGC0000047.1.region001.gbk	T1PKS	1	True	67478	26	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000047/BGC0000047.1.region001.gbk
BGC0000051	BGC0000051.1.region001.gbk	T1PKS	1	True	37060	10	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000051/BGC0000051.1.region001.gbk
BGC0000050	BGC0000050.1.region001.gbk	T1PKS	1	True	50114	8	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000050/BGC0000050.1.region001.gbk
BGC0000052	BGC0000052.1.region001.gbk	T1PKS	1	True	158007	25	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000052/BGC0000052.1.region001.gbk
BGC0000057	BGC0000057.1.region001.gbk	T1PKS	1	True	26552	10	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000057/BGC0000057.1.region001.gbk
BGC0000053	BGC0000053.1.region001.gbk	T1PKS	1	True	63201	24	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000053/BGC0000053.1.region001.gbk
BGC0000055	BGC0000055.1.region001.gbk	T1PKS	1	True	54612	23	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000055/BGC0000055.1.region001.gbk
BGC0000056	BGC0000056.1.region001.gbk	T1PKS	1	True	6689	3	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000056/BGC0000056.1.region001.gbk
BGC0000054	BGC0000054.1.region001.gbk	T1PKS	1	True	58296	27	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000054/BGC0000054.1.region001.gbk
BGC0000062	BGC0000062.1.region001.gbk	T1PKS	1	False	48163	15	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000062/BGC0000062.1.region001.gbk
BGC0000059	BGC0000059.1.region001.gbk	T1PKS	1	True	80370	13	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000059/BGC0000059.1.region001.gbk
BGC0000060	BGC0000060.1.region001.gbk	T1PKS	1	True	73577	21	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000060/BGC0000060.1.region001.gbk
BGC0000061	BGC0000061.1.region001.gbk	T1PKS,NRPS-like	2	True	137277	20	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000061/BGC0000061.1.region001.gbk
BGC0000058	BGC0000058.1.region001.gbk	T1PKS	1	True	74321	8	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000058/BGC0000058.1.region001.gbk
BGC0000064	BGC0000064.1.region001.gbk	T1PKS,NRPS	2	True	11857	1	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000064/BGC0000064.1.region001.gbk
BGC0000066	BGC0000066.1.region001.gbk	T1PKS,NRPS-like	2	True	69644	23	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000066/BGC0000066.1.region001.gbk
BGC0000063	BGC0000063.1.region001.gbk	T1PKS	1	True	35569	10	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000063/BGC0000063.1.region001.gbk
BGC0000067	BGC0000067.1.region001.gbk	T1PKS,NRPS-like	2	True	75920	4	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000067/BGC0000067.1.region001.gbk
BGC0000065	BGC0000065.1.region001.gbk	PKS-like	1	True	35139	24	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000065/BGC0000065.1.region001.gbk
BGC0000072	BGC0000072.1.region001.gbk	T1PKS	1	True	34905	7	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000072/BGC0000072.1.region001.gbk
BGC0000069	BGC0000069.1.region001.gbk	T1PKS	1	True	63402	21	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000069/BGC0000069.1.region001.gbk
BGC0000073	BGC0000073.1.region001.gbk	T1PKS	1	True	107687	9	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000073/BGC0000073.1.region001.gbk
BGC0000068	BGC0000068.1.region001.gbk	T1PKS	1	True	28356	13	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000068/BGC0000068.1.region001.gbk
BGC0000070	BGC0000070.1.region001.gbk	T1PKS	1	False	45672	17	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000070/BGC0000070.1.region001.gbk
BGC0000077	BGC0000077.1.region001.gbk	T1PKS	1	True	42765	10	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000077/BGC0000077.1.region001.gbk
BGC0000078	BGC0000078.1.region001.gbk	T1PKS,oligosaccharide	2	True	118130	61	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000078/BGC0000078.1.region001.gbk
BGC0000076	BGC0000076.1.region001.gbk	T1PKS	1	True	36275	9	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000076/BGC0000076.1.region001.gbk
BGC0000074	BGC0000074.1.region001.gbk	T1PKS,NRPS-like	2	True	79265	24	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000074/BGC0000074.1.region001.gbk
BGC0000075	BGC0000075.1.region001.gbk	T1PKS,NRPS-like	2	True	75399	30	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000075/BGC0000075.1.region001.gbk
BGC0000080	BGC0000080.1.region001.gbk	T1PKS	1	True	67323	21	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000080/BGC0000080.1.region001.gbk
BGC0000081	BGC0000081.1.region001.gbk	T1PKS,arylpolyene,other,NRPS,NRPS-like	5	True	110643	87	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000081/BGC0000081.1.region001.gbk
BGC0000079	BGC0000079.1.region001.gbk	T1PKS	1	True	79604	23	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000079/BGC0000079.1.region001.gbk
BGC0000082	BGC0000082.1.region001.gbk	T1PKS,oligosaccharide,other	3	True	107627	43	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000082/BGC0000082.1.region001.gbk
BGC0000083	BGC0000083.1.region001.gbk	transAT-PKS	1	True	50543	9	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000083/BGC0000083.1.region001.gbk
BGC0000088	BGC0000088.1.region001.gbk	T1PKS	1	True	46899	15	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000088/BGC0000088.1.region001.gbk
BGC0000084	BGC0000084.1.region001.gbk	T1PKS	1	True	102840	32	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000084/BGC0000084.1.region001.gbk
BGC0000086	BGC0000086.1.region001.gbk	T1PKS	1	True	81959	24	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000086/BGC0000086.1.region001.gbk
BGC0000085	BGC0000085.1.region001.gbk	T1PKS	1	True	63010	26	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000085/BGC0000085.1.region001.gbk
BGC0000087	BGC0000087.1.region001.gbk	T1PKS	1	True	100106	49	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000087/BGC0000087.1.region001.gbk
BGC0000091	BGC0000091.1.region001.gbk	T1PKS,NRPS-like,prodigiosin	3	True	32132	22	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000091/BGC0000091.1.region001.gbk
BGC0000094	BGC0000094.1.region001.gbk	T1PKS	1	True	37948	7	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000094/BGC0000094.1.region001.gbk
BGC0000092	BGC0000092.1.region001.gbk	T1PKS	1	True	47981	19	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000092/BGC0000092.1.region001.gbk
BGC0000093	BGC0000093.1.region001.gbk	T1PKS	1	True	115772	47	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000093/BGC0000093.1.region001.gbk
BGC0000093	BGC0000093.1.region002.gbk	T1PKS	1	True	51199	28	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000093/BGC0000093.1.region002.gbk
BGC0000090	BGC0000090.1.region001.gbk	T1PKS,NRPS-like	2	False	82162	23	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000090/BGC0000090.1.region001.gbk
BGC0000096	BGC0000096.1.region001.gbk	T1PKS	1	True	75011	33	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000096/BGC0000096.1.region001.gbk
BGC0000097	BGC0000097.1.region001.gbk	T1PKS	1	True	89357	24	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000097/BGC0000097.1.region001.gbk
BGC0000100	BGC0000100.1.region001.gbk	T1PKS	1	True	103450	34	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000100/BGC0000100.1.region001.gbk
BGC0000098	BGC0000098.1.region001.gbk	T1PKS	1	True	43466	9	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000098/BGC0000098.1.region001.gbk
BGC0000099	BGC0000099.1.region001.gbk	T1PKS	1	True	8104	1	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000099/BGC0000099.1.region001.gbk
BGC0000104	BGC0000104.1.region001.gbk	T1PKS	1	True	25486	8	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000104/BGC0000104.1.region001.gbk
BGC0000102	BGC0000102.1.region001.gbk	T1PKS	1	True	58343	21	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000102/BGC0000102.1.region001.gbk
BGC0000105	BGC0000105.1.region001.gbk	T1PKS	1	True	120138	33	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000105/BGC0000105.1.region001.gbk
BGC0000103	BGC0000103.1.region001.gbk	T1PKS	1	True	107218	9	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000103/BGC0000103.1.region001.gbk
BGC0000107	BGC0000107.1.region001.gbk	T1PKS	1	True	6819	1	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000107/BGC0000107.1.region001.gbk
BGC0000110	BGC0000110.1.region001.gbk	T1PKS	1	True	38365	11	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000110/BGC0000110.1.region001.gbk
BGC0000108	BGC0000108.1.region001.gbk	T1PKS,NRPS-like	2	True	91901	22	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000108/BGC0000108.1.region001.gbk
BGC0000106	BGC0000106.1.region001.gbk	T1PKS,NRPS-like	2	True	101365	29	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000106/BGC0000106.1.region001.gbk
BGC0000109	BGC0000109.1.region001.gbk	T1PKS	1	True	80358	12	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000109/BGC0000109.1.region001.gbk
BGC0000112	BGC0000112.1.region001.gbk	T1PKS,other,butyrolactone	3	True	62616	46	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000112/BGC0000112.1.region001.gbk
BGC0000111	BGC0000111.1.region001.gbk	T1PKS	1	True	33079	14	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000111/BGC0000111.1.region001.gbk
BGC0000114	BGC0000114.1.region001.gbk	T1PKS	1	True	95700	18	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000114/BGC0000114.1.region001.gbk
BGC0000115	BGC0000115.1.region001.gbk	T1PKS	1	True	123580	22	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000115/BGC0000115.1.region001.gbk
BGC0000113	BGC0000113.1.region001.gbk	T1PKS	1	True	41097	7	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000113/BGC0000113.1.region001.gbk
BGC0000120	BGC0000120.1.region001.gbk	T1PKS	1	True	25605	8	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000120/BGC0000120.1.region001.gbk
BGC0000118	BGC0000118.1.region001.gbk	arylpolyene,T1PKS,PKS-like	3	True	42898	28	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000118/BGC0000118.1.region001.gbk
BGC0000117	BGC0000117.1.region001.gbk	T1PKS	1	True	104326	18	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000117/BGC0000117.1.region001.gbk
BGC0000119	BGC0000119.1.region001.gbk	arylpolyene,T1PKS,PKS-like	3	False	55695	37	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000119/BGC0000119.1.region001.gbk
BGC0000116	BGC0000116.1.region001.gbk	T1PKS	1	True	125717	23	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000116/BGC0000116.1.region001.gbk
BGC0000121	BGC0000121.1.region001.gbk	T1PKS	1	True	25614	12	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000121/BGC0000121.1.region001.gbk
BGC0000122	BGC0000122.1.region001.gbk	NRPS-like,T1PKS	2	True	36839	9	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000122/BGC0000122.1.region001.gbk
BGC0000125	BGC0000125.1.region001.gbk	T1PKS,NRPS-like	2	True	84985	17	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000125/BGC0000125.1.region001.gbk
BGC0000124	BGC0000124.1.region001.gbk	T1PKS	1	True	49420	12	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000124/BGC0000124.1.region001.gbk
BGC0000123	BGC0000123.1.region001.gbk	T1PKS	1	True	76196	28	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000123/BGC0000123.1.region001.gbk
BGC0000127	BGC0000127.1.region001.gbk	T1PKS	1	True	33648	18	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000127/BGC0000127.1.region001.gbk
BGC0000130	BGC0000130.1.region001.gbk	T1PKS	1	True	44763	26	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000130/BGC0000130.1.region001.gbk
BGC0000129	BGC0000129.1.region001.gbk	T1PKS	1	True	23079	9	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000129/BGC0000129.1.region001.gbk
BGC0000128	BGC0000128.1.region001.gbk	T1PKS	1	True	32800	20	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000128/BGC0000128.1.region001.gbk
BGC0000126	BGC0000126.1.region001.gbk	T1PKS	1	True	74342	8	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000126/BGC0000126.1.region001.gbk
BGC0000133	BGC0000133.1.region001.gbk	T1PKS	1	False	66962	29	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000133/BGC0000133.1.region001.gbk
BGC0000132	BGC0000132.1.region001.gbk	T1PKS	1	True	19907	11	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000132/BGC0000132.1.region001.gbk
BGC0000134	BGC0000134.1.region001.gbk	T1PKS	1	True	31332	5	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000134/BGC0000134.1.region001.gbk
BGC0000135	BGC0000135.1.region001.gbk	T1PKS	1	True	104853	33	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000135/BGC0000135.1.region001.gbk
BGC0000140	BGC0000140.1.region001.gbk	T1PKS	1	True	15000	11	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000140/BGC0000140.1.region001.gbk
BGC0000138	BGC0000138.1.region001.gbk	T1PKS,NRPS-like	2	True	19055	11	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000138/BGC0000138.1.region001.gbk
BGC0000137	BGC0000137.1.region001.gbk	T1PKS,NRPS-like	2	True	79725	27	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000137/BGC0000137.1.region001.gbk
BGC0000141	BGC0000141.1.region001.gbk	T1PKS,NRPS-like,other,aminocoumarin	4	True	105657	58	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000141/BGC0000141.1.region001.gbk
BGC0000136	BGC0000136.1.region001.gbk	T1PKS,NRPS-like	2	True	88019	45	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000136/BGC0000136.1.region001.gbk
BGC0000146	BGC0000146.1.region001.gbk	T1PKS	1	True	21000	6	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000146/BGC0000146.1.region001.gbk
BGC0000145	BGC0000145.1.region001.gbk	T1PKS,NRPS-like,transAT-PKS-like	3	True	32637	21	/data3/zhangdw/02.Database/09.MiBiG_2.0/antiSMASH6_mibig_2.0/BGC0000145/BGC0000145.1.region001.gbk
